id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
10,10,224717,,,,,0.002424,-50.866976,92.3361,42.23,40.02,0,8.59,3.763,F6V,0.489,58.275424,0.037038,-71.623522,0.00001388,0.00001891,0.00001131,0.000634526,-0.887796216,2.04737E-07,1.94022E-07,,,Phe,1,10,,2.721447746,,,
11,11,224720,,,,,0.002488,46.939997,239.2344,11.09,-2.02,-25.8,7.34,0.446,A2,0.081,163.34042,0.106439,174.793831,-0.00001631,0.00001285,-0.00002088,0.000651423,0.81925749,5.37658E-08,-9.79324E-09,,,And,1,11,,57.75638464,,,
12,12,224715,,,,,0.002727,-35.960225,307.6923,-5.99,-0.1,0,8.43,0.989,K4III,1.484,249.053728,0.177782,-180.684145,-0.00000008,-0.00000893,-0.00000012,0.00071389,-0.627624326,-2.90403E-08,-4.84813E-10,,,Scl,1,12,,35.02676269,,,
13,13,224728,,,,,0.00278,-22.594705,100000,8.45,-10.07,0,8.8,-11.2,K0III,1.128,92324.54832,67.196978,-38421.00027,-0.00187856,0.00409495,-0.00450696,0.000727804,-0.394351996,4.09668E-08,-4.88207E-08,,,Cet,1,13,,2630267.992,,,
14,14,224726,,,,,0.003228,-0.36045,205.7613,61.75,-11.67,0,7.25,0.683,K0,1.2,205.757155,0.17389,-1.294442,-0.00000013,0.00006159,-0.00001164,0.000845121,-0.006291031,2.99372E-07,-5.65778E-08,,,Psc,1,14,,46.43014073,,,
15,15,236267,,,,,0.003356,50.791187,523.5602,13.88,5.47,0,8.6,0.005,K2,1.166,330.967664,0.290916,405.679189,-0.00001079,0.00003522,0.00000878,0.000878643,0.886473445,6.72921E-08,2.65193E-08,,,Cas,1,15,,86.69618758,,,
16,17,224732,,,,,0.003401,-40.192392,136.4256,-34.46,-26.37,0,8.15,2.476,F3V,0.425,104.212982,0.092744,-88.043116,-0.00001123,-0.0000228,-0.00001332,0.000890391,-0.701489583,-1.67067E-07,-1.27845E-07,,,Phe,1,16,,8.904304436,,,
17,16,,,,,,0.003469,-54.914363,751.8797,257.39,-96.63,0,11.71,2.329,,0.421,432.180376,0.395981,-615.258522,-0.00028905,0.0009379,-0.00020245,0.000908165,-0.95843644,1.24786E-06,-4.68475E-07,,,Phe,1,17,,10.19529978,,11.823,11.543
18,18,,,,,,0.003522,-4.05368,44.8229,-127.22,23.78,0,11.03,7.773,K5,1.567,44.710745,0.041225,-3.168578,0.00000039,-0.00002764,0.00000515,0.000922056,-0.070750068,-6.1678E-07,1.15289E-07,,,Psc,1,18,,0.067732951,,11.088,10.948
19,19,224721,,,,,0.003554,38.30405,249.3766,-2.5,-15.07,16,6.53,-0.454,G5,0.955,195.693966,0.182078,154.572309,0.00002414,-0.000003,-0.00000415,0.000930449,0.668531784,-1.21203E-08,-7.30614E-08,,,And,1,19,,132.3122333,,,
20,20,224723,,,,,0.004203,23.529228,96.6184,36,-22.98,0,8.51,3.585,G0,0.516,88.585158,0.097476,38.571692,0.00000428,0.00001687,-0.00000987,0.00110022,0.4106625,1.74533E-07,-1.1141E-07,,,Peg,1,20,,3.206269325,,,
21,21,224724,,,,,0.004426,8.007234,189.3939,61.89,-0.22,0,7.55,1.163,K2,1.438,187.547277,0.217307,26.382215,-0.00000004,0.00005682,-0.0000002,0.001158655,0.139752594,3.00051E-07,-1.06659E-09,,,Psc,1,21,,29.84008116,,,
22,22,224735,,,,,0.004674,-49.352266,318.4713,-7.9,0.46,0,8.69,1.175,G8/K0III/IV,0.962,207.454138,0.253838,-241.63337,0.00000055,-0.0000122,0.00000046,0.001223765,-0.861359529,-3.83003E-08,2.23014E-09,,,Phe,1,22,,29.51209227,,,
23,23,224742,,,,,0.004971,13.312234,86.2813,54.15,9.65,0,7.57,2.89,F2V,0.456,83.962827,0.109269,19.866919,-0.00000096,0.00002265,0.00000393,0.001301332,0.232342318,2.62527E-07,4.67845E-08,,,Peg,1,23,,6.081350013,,,
24,24,224746,,,,,0.005091,-23.452695,105.4852,127.15,22.22,0,9.05,3.934,G0V,0.528,96.770874,0.129015,-41.982243,0.00000444,0.00006503,0.00001042,0.001332711,-0.409326747,6.16441E-07,1.07726E-07,,,Cet,1,24,,2.324877102,,,
25,25,224750,9077,,,,0.0053,-44.290561,81.367,58.36,-108.64,3,6.28,1.728,G3IV,0.763,58.243094,0.080879,-56.818381,-0.00002776,0.00002298,-0.00003282,0.001387661,-0.773016124,2.82937E-07,-5.26702E-07,,,Phe,1,25,,17.73372625,,,
26,26,224744,,,,,0.005606,-13.393378,100.8065,-103.33,-33.35,0,9.13,4.113,F7V,0.535,98.064726,0.14392,-23.350361,-0.0000037,-0.0000505,-0.00001585,0.001467728,-0.233758542,-5.00958E-07,-1.61685E-07,,,Cet,1,26,,1.971514611,,,
27,27,224748,,,,,0.00572,-41.297813,107.6426,135.96,-113.67,0,9.32,4.16,G5V,0.671,80.870646,0.121258,-71.041209,-0.00003925,0.00007089,-0.00004456,0.001497495,-0.720782814,6.59153E-07,-5.51088E-07,,,Phe,1,27,,1.887991349,,,
28,28,224749,,,,,0.005815,-43.361821,198.0198,-10.96,-8.69,0,8.83,2.346,F3/F5V,0.468,143.966634,0.219137,-135.961029,-0.00000571,-0.00001053,-0.00000606,0.001522312,-0.756806541,-5.31356E-08,-4.21303E-08,,,Phe,1,28,,10.03690931,,,
29,29,224751,,,,,0.006146,-49.107945,411.5226,26.86,4.05,0,9.14,1.068,G8III,1.041,269.397158,0.433657,-311.088145,0.00000602,0.00005359,0.00000529,0.001609129,-0.857095331,1.30221E-07,1.9635E-08,,,Phe,1,29,,32.56866822,,,
30,30,224757,,,,,0.006408,42.141474,244.4988,-8.44,-10.14,0,8.26,1.319,A0,0.142,181.293246,0.304102,164.049778,0.00000808,-0.00000999,-0.00000891,0.001677524,0.735507475,-4.09183E-08,-4.91601E-08,,,And,1,30,,25.84639636,,,
31,31,224760,,,,,0.006539,2.675477,306.7485,-4.88,-0.2,0,7.63,0.196,K2,1.453,306.413678,0.524535,14.318687,0.00000003,-0.00000726,-0.0000003,0.001711853,0.046695886,-2.36589E-08,-9.69627E-10,,,Psc,1,31,,72.71098032,,,
32,32,224756,,,,,0.006572,51.939487,330.033,-0.39,-1.38,0,9.09,1.497,B8,0.04,203.462862,0.350076,259.85481,0.00000174,-0.00000062,-0.00000136,0.001720594,0.90651506,-1.89077E-09,-6.69043E-09,,,Cas,1,32,,21.93814992,,,
33,33,224743,,,,,0.006611,-10.462385,113.7656,-3.62,28.71,0,8.1,2.82,F2,0.466,111.874004,0.19364,-20.658692,0.00000288,-0.00000199,0.00001557,0.001730876,-0.182603059,-1.75503E-08,1.3919E-07,,,Cet,1,33,,6.486344335,,,
34,34,224758,9078,,,,0.006638,26.918108,74.6269,42.2,-53.47,0,6.43,2.066,F7.5IV-V,0.514,66.54131,0.115654,33.784832,0.00000873,0.00001528,-0.00001725,0.001737862,0.469809617,2.04591E-07,-2.5923E-07,,,Peg,1,34,,12.98972629,,,
35,35,224745,,,,,0.006864,-14.490484,145.3488,162.25,-1.47,0,9.07,3.258,G8/K0III/IV,0.916,140.724913,0.2529,-36.369062,-0.00000046,0.00011432,-0.000001,0.001796899,-0.25290666,7.8661E-07,-7.12676E-09,,,Cet,1,35,,4.333112852,,,
36,36,224759,,,,,0.006893,12.267128,184.5018,49.71,14.27,0,7.68,1.35,K0,1.15,180.288895,0.325359,39.201059,-0.00000279,0.00004446,0.00001247,0.001804605,0.214101767,2.41001E-07,6.91829E-08,,,Peg,1,36,,25.11886432,,,
37,37,224764,,,,,0.007022,-47.179567,381.6794,-6.92,7.03,0,10.44,2.532,F0V,0.391,259.428169,0.476909,-279.957073,0.00000956,-0.00001279,0.00000884,0.001838443,-0.823438778,-3.35491E-08,3.40824E-08,,,Phe,1,37,,8.456682001,,10.516,10.346
38,38,224752,,,,,0.007429,-79.061983,42.3012,162.3,-62.4,0,8.65,5.518,G6V,0.778,8.026508,0.015848,-41.532715,-0.00001263,0.00003326,-0.00000243,0.001945017,-1.379891914,7.86853E-07,-3.02524E-07,,,Oct,1,38,,0.540505354,,,
39,39,224763,,,,,0.007485,-16.697009,92.5069,169.72,-32.54,10,7.46,2.629,F3V,0.475,88.606493,0.173657,-26.578231,0.00000545,0.00007612,-0.00001692,0.00195955,-0.291417786,8.22826E-07,-1.57758E-07,,,Cet,1,39,,7.73392578,,,
40,41,224768,,,,,0.007771,54.302236,364.9635,1.78,-0.47,0,8.7,0.889,A0,0.026,212.959233,0.433276,296.389159,0.00000067,0.00000315,-0.00000049,0.002034492,0.947752818,8.62968E-09,-2.27862E-09,,,Cas,1,40,,38.40608157,,,
41,40,,,,,,0.008131,67.216783,100000,-2.99,-3.18,0,10.61,-9.39,B...,0.57,38724.46552,82.422961,92197.66253,0.00142438,-0.00144644,-0.00059697,0.002128644,1.173154183,-1.44959E-08,-1.54171E-08,,,Cep,1,41,,496592.3215,V463,10.824,10.514
42,42,224771,,,,,0.008362,25.844765,163.3987,20.7,-6.51,0,8.2,2.134,F2,0.387,147.054957,0.321961,71.23111,0.00000221,0.0000164,-0.00000464,0.002189287,0.451076239,1.00356E-07,-3.15614E-08,,,Peg,1,42,,12.20112847,,,
43,43,224784,9079,,,,0.008593,59.559679,136.2398,-80.6,-24.07,-33,6.18,0.508,G9III-IV,1.032,69.024292,0.155048,117.45989,-0.00000327,-0.00005324,-0.00003715,0.002249608,1.039512505,-3.9076E-07,-1.16695E-07,,,Cas,1,43,,54.55065882,,,
44,44,224776,,,,,0.00885,-3.306323,335.5705,11.1,16.04,0,7.91,0.281,K2,1.104,335.01103,0.776192,-19.353759,0.00000146,0.00001806,0.00002605,0.002316911,-0.057706218,5.38143E-08,7.77641E-08,,,Psc,1,44,,67.23571072,,,
45,45,224766,,,,,0.008941,-72.202717,62.3053,-37.2,-2.78,0,9.59,5.617,G6/G8V:,,19.043572,0.044508,-59.32361,-0.00000077,-0.00001124,-0.00000026,0.00234073,-1.26017514,-1.80351E-07,-1.34778E-08,,,Tuc,1,45,,0.493400971,,,
46,46,224778,,,,,0.008972,-25.622285,833.3333,15.17,-13.39,0,8.57,-1.034,K1III,1.035,751.384895,1.76497,-360.363723,-0.00002354,0.00006123,-0.00004877,0.002348882,-0.44719324,7.35462E-08,-6.49166E-08,,,Scl,1,46,,225.7355711,,,
47,47,,,,,,0.009006,-56.835602,40.7498,-44.21,-145.9,0,10.78,7.729,K3V,1.15,22.291838,0.052522,-34.111837,-0.00002411,-0.00000879,-0.00001577,0.002357675,-0.991968391,-2.14336E-07,-7.07343E-07,,,Phe,1,47,,0.070534241,,10.849,10.669
48,48,224780,,,,,0.009015,-40.690474,671.1409,4.08,-11.28,0,7.31,-1.824,K0/K1III,1.164,508.8863,1.201131,-437.565308,-0.00002396,0.00001322,-0.00002783,0.002360252,-0.710182746,1.97804E-08,-5.4687E-08,,,Phe,1,48,,467.3045396,,,
49,49,,,,,,0.009304,16.669049,375.9398,26.66,6.95,0,9.53,1.654,F5,0.45,360.140834,0.877278,107.835722,-0.00000375,0.00004858,0.00001213,0.002435875,0.290929783,1.29251E-07,3.36946E-08,,,Peg,1,49,,18.98453657,,,
50,50,224782,,,,,0.009533,-53.097713,59.4177,52.98,-20.52,0,6.49,2.62,G1IV,0.616,35.677374,0.089097,-47.513999,-0.00000476,0.00001525,-0.00000355,0.002495807,-0.926729909,2.56854E-07,-9.94838E-08,,,Phe,1,50,,7.798301105,,,
51,51,224774,,,,,0.009561,1.066213,100000,10.19,6.33,0,8.94,-11.06,K0,0.906,99982.37269,250.263031,1860.784651,-0.00006946,0.00493966,0.00306807,0.002503066,0.018608921,4.94025E-08,3.06887E-08,,,Psc,1,51,,2312064.79,,,
52,52,224767,,,,,0.009781,-77.020116,209.6436,21.46,9.91,0,8.56,1.953,A4V,0.196,47.087672,0.12072,-204.286993,0.00000976,0.00002183,0.00000226,0.002560588,-1.34425462,1.04041E-07,4.8045E-08,,,Oct,1,52,,14.41451386,,,
53,53,,,,,,0.009828,-29.263414,100000,11.94,-12.96,0,10.96,-9.04,,,87237.87011,224.46559,-48882.54938,-0.00308599,0.00578025,-0.00548086,0.00257295,-0.510742923,5.78868E-08,-6.28319E-08,,,Scl,1,53,,359749.3352,,11.03,10.89
54,54,,,,,,0.01017,17.968908,50.2008,367.14,-19.49,0,10.57,7.066,M:,1.03,47.75204,0.127177,15.48699,0.00000123,0.00008935,-0.00000451,0.002662463,0.313616614,1.77994E-06,-9.44902E-08,,,Peg,1,54,,0.129897263,,,
55,55,224783,,,,,0.010549,-66.683173,64.9351,162.88,-28.82,0,7.4,3.338,G2IV/V,0.551,25.702202,0.07125,-59.631861,-0.00000847,0.00005125,-0.00000359,0.002761618,-1.16384093,7.89665E-07,-1.39723E-07,,,Tuc,1,55,,4.02531619,,,
56,56,224785,,,,,0.010862,0.222931,253.8071,39.02,-3.09,0,8.12,1.097,K0,1.329,253.804153,0.721721,0.987533,-0.00000012,0.00004801,-0.0000038,0.002843605,0.003890888,1.89174E-07,-1.49807E-08,,,Psc,1,56,,31.71027439,,,
57,57,224789,,,,,0.011212,-69.675965,29.8686,-40.97,-67.59,0,8.27,5.894,K2V,0.863,10.374188,0.030419,-28.00908,-0.00000916,-0.00000596,-0.0000034,0.002935397,-1.216074996,-1.98628E-07,-3.27686E-07,,,Tuc,1,57,,0.382296217,,,
58,58,224792,,,,,0.011577,62.175898,38.8048,-46.95,-43.9,16,7.05,4.106,G0,0.52,18.112462,0.054853,34.318498,0.00001497,-0.00000879,0.00001062,0.003030749,1.085174136,-2.2762E-07,-2.12833E-07,,,Cas,1,58,,1.984266498,,,
59,59,236270,,,,,0.01163,55.72246,100000,-0.27,-1.02,-26,9.09,-10.91,B5,0.091,56319.95614,171.475741,82631.91326,0.00039401,-0.00012969,-0.00030046,0.003044671,0.972540396,-1.309E-09,-4.9451E-09,,,Cas,1,59,,2013724.25,,9.155,9.035
60,60,224788,,,,,0.011695,-64.465799,172.117,1.75,10.74,0,8.34,2.161,F2IV,0.386,74.19065,0.227164,-155.306013,0.00000808,0.00000148,0.00000386,0.003061783,-1.125140446,8.48424E-09,5.2069E-08,,,Tuc,1,60,,11.90145339,,,
61,61,236269,,,,,0.011749,53.822146,178.8909,32.68,-16.7,0,8.86,2.597,K5,1.081,105.597675,0.324911,144.398682,0.0000116,0.00002838,-0.00000855,0.003075908,0.939373651,1.58437E-07,-8.09639E-08,,,Cas,1,61,,7.965260798,,,
62,62,224800,,,,,0.011998,-45.422739,308.642,4.02,-4.78,0,8.27,0.823,G8III,0.994,216.625621,0.680458,-219.847132,-0.00000511,0.000006,-0.00000502,0.003141085,-0.792776348,1.94895E-08,-2.31741E-08,,,Phe,1,62,,40.81313916,,,
63,63,224801,9080,,,,0.012119,45.253334,187.9699,17.38,0.22,-3,6.36,-0.01,B9p SiEu,-0.047,132.325125,0.419892,133.501154,-0.00000235,0.00001583,-0.00000204,0.003172863,0.789819667,8.42606E-08,1.06659E-09,,,And,1,63,,87.90225168,CG,6.382,6.322
64,64,224798,,,,,0.012305,-27.907582,243.9024,-5.93,-14.59,0,8.08,1.144,K2III,1.156,215.536337,0.69433,-114.157726,-0.00000805,-0.00000704,-0.00001524,0.00322143,-0.487079184,-2.87495E-08,-7.07343E-08,,,Scl,1,64,,30.36686788,,,
65,65,,,,,,0.012498,-54.830524,54.7046,-205.14,-75.34,0,11,7.31,,1.147,31.509513,0.102901,-44.718378,-0.00001615,-0.00005445,-0.00001151,0.003272084,-0.956973167,-9.94547E-07,-3.65259E-07,,,Phe,1,65,,0.103752842,,11.092,10.882
66,66,224790,,,,,0.012567,-72.31822,127.2265,-15.61,11.88,0,8.55,3.027,F2V,0.401,38.642308,0.12708,-121.21608,0.00000701,-0.0000096,0.00000223,0.00329014,-1.262191051,-7.56794E-08,5.75959E-08,,,Tuc,1,66,,5.360434578,,,
67,67,224806,,,,,0.013288,23.538219,150.3759,91.05,-12.35,0,7.83,1.944,F5,0.495,137.862871,0.479653,60.054225,0.00000336,0.00006639,-0.00000825,0.003478835,0.410819416,4.41423E-07,-5.98745E-08,,,Peg,1,67,,14.53449678,,,
68,68,224808,,,,,0.01336,16.988197,31.5856,-99.69,-315.9,-21.9,8.79,6.293,K0,0.94,30.206989,0.105644,9.228456,-0.00000723,-0.00001529,-0.0000528,0.003497534,0.296499974,-4.83311E-07,-1.53153E-06,,,Peg,1,68,,0.264728074,,,
69,69,224804,,,,,0.013427,30.39589,182.8154,16.48,-1.3,0,8.33,2.02,A0,0.135,157.686444,0.554335,92.499452,0.00000053,0.00001461,-0.00000099,0.003515298,0.530508353,7.98973E-08,-6.30258E-09,,,Peg,1,69,,13.55189412,,,
70,70,,,,,,0.013512,36.777637,168.3502,-46.78,-0.88,0,10.42,4.289,,0.706,134.841793,0.476944,100.793121,0.00000057,-0.00003818,-0.00000058,0.003537543,0.641890861,-2.26796E-07,-4.26636E-09,,,And,1,70,,1.676486266,,,
71,71,224803,,,,,0.013803,36.780106,136.9863,-24.5,-19.47,0,8.26,2.577,G5,0.846,109.716997,0.396439,82.019935,0.0000078,-0.00001624,-0.00001036,0.003613533,0.641933947,-1.18779E-07,-9.43932E-08,,,And,1,71,,8.113346052,,,
72,72,224810,,,,,0.014661,-12.828961,87.8735,185.34,-119.65,0,8.97,4.251,G3/G5V,0.671,85.679304,0.328884,-19.511553,-0.00001162,0.00007891,-0.0000497,0.003838332,-0.223907608,8.98554E-07,-5.8008E-07,,,Cet,1,72,,1.736200992,,,
73,73,224826,,,,,0.014694,66.848011,280.112,-20.78,18.19,-12,6.9,-0.337,K2,1.446,110.131222,0.423507,257.553115,-0.00002743,-0.00002832,-0.00000157,0.00384682,1.16671789,-1.00744E-07,8.81876E-08,,,Cep,1,73,,118.7955028,,,
74,74,,,,,,0.014817,35.752624,44.5236,157.73,-40.31,0,9.93,6.687,K5,1.068,36.132732,0.140219,26.014553,0.00000495,0.00003406,-0.00000706,0.003879101,0.624001007,7.64697E-07,-1.95428E-07,,,And,1,74,,0.18416199,,9.998,9.888
75,75,224821,,,,,0.014882,-50.446459,641.0256,29.01,2.56,0,7.42,-1.614,K4III,1.524,408.201365,1.590705,-494.249872,0.00000578,0.00009017,0.00000507,0.003896143,-0.8804568,1.40644E-07,1.24112E-08,,,Phe,1,75,,385.1234824,,,
76,76,,,,,,0.015214,32.825654,346.0208,-1.98,-8.45,0,9.03,1.334,M0,1.67,290.767266,1.158155,187.572518,0.0000077,-0.00000329,-0.00001191,0.003983096,0.57291574,-9.59931E-09,-4.09668E-08,,,And,1,76,,25.49177051,V401,9.079,8.979
77,77,224820,,,,,0.015371,-30.064166,208.7683,18.83,2.83,-1,8.41,1.812,A0V,0.022,180.680166,0.727112,-104.586559,0.00000047,0.00001906,0.00000299,0.00402416,-0.52471869,9.12904E-08,1.37202E-08,,,Scl,1,77,,16.41345467,,,
78,78,224816,,,,,0.015487,17.867851,709.2199,-0.51,3.68,0,8.06,-1.194,K0,1.203,675.006346,2.736898,217.604708,-0.00000387,-0.00000177,0.00001204,0.004054603,0.311852827,-2.47255E-09,1.78411E-08,,,Peg,1,78,,261.5772683,,,
79,79,,,,,,0.015718,35.31672,271.0027,16.45,-13.81,0,8.69,1.525,F5,0.529,221.127909,0.909944,156.665514,0.0000104,0.00002165,-0.0000148,0.004114836,0.616393049,7.97519E-08,-6.69528E-08,,,And,1,79,,21.3796209,,,
80,80,224817,,,,,0.016187,-11.823739,73.0994,419.04,-82.83,-7,8.4,4.08,G2V,0.566,71.547716,0.303237,-14.978171,-0.00001365,0.00014844,-0.00002726,0.004237843,-0.206363167,2.03156E-06,-4.01571E-07,,,Cet,1,80,,2.032357011,,,
81,81,224828,,,,,0.016228,-4.932534,43.7828,-184.7,-172.67,0.5,8.57,5.363,G5,0.642,43.620267,0.185316,-3.764562,-0.00000247,-0.00003921,-0.00003656,0.004248399,-0.086088965,-8.95451E-07,-8.37128E-07,,,Psc,1,81,,0.623447661,,,
82,82,,,,,,0.016534,-10.935963,100000,-6.01,-65.06,0,9.5,-10.5,G5,1.107,98183.06289,425.0085,-18971.17627,-0.00597061,-0.00293935,-0.0309665,0.004328713,-0.19086857,-2.91373E-08,-3.1542E-07,,,Cet,1,82,,1380384.265,,,
83,83,236274,,,,,0.016538,52.080562,543.4783,-2.1,-0.99,0,8.85,0.174,M0,1.726,333.993017,1.446094,428.736791,0.00000208,-0.00000552,-0.0000016,0.00432974,0.908977282,-1.01811E-08,-4.79966E-09,,,Cas,1,83,,74.19933278,,,
84,84,,,,,,0.016824,27.88633,47.7783,225.55,-5.46,0,9.61,6.214,K0,0.852,42.229742,0.186052,22.346816,0.00000036,0.00005224,-0.00000112,0.00440443,0.486708281,1.0935E-06,-2.64708E-08,,,Peg,1,84,,0.284708216,,,
85,85,,,,,,0.017075,-24.714048,304.878,48.48,0.49,0,10.62,3.199,A2,0.359,276.950145,1.238095,-127.466385,-0.00000002,0.00007165,0.00000066,0.004470226,-0.431341505,2.35038E-07,2.37559E-09,,,Cet,1,85,,4.575093773,,10.672,10.552
86,86,224836,,,,,0.017361,69.603505,272.4796,11.53,2.67,0,8.05,0.873,B9,0.018,94.962169,0.431695,255.396031,-0.00000337,0.00001521,0.00000123,0.004545022,1.214810327,5.5899E-08,1.29445E-08,,,Cep,1,86,,38.97624531,,,
87,87,224829,,,,,0.017433,-5.835002,340.1361,-7.83,-10.91,0,7.8,0.142,F5,0.43,338.370259,1.544324,-34.579615,-0.00000177,-0.00001292,-0.0000179,0.004563975,-0.10184,-3.79609E-08,-5.28932E-08,,,Psc,1,87,,76.4187624,,,
88,88,224834,9081,,Tau Phe,,0.017941,-48.809876,181.8182,-17.92,-6.75,8,5.71,-0.588,G8III,0.911,119.736878,0.562356,-136.823418,0.00000099,-0.00001579,-0.00001008,0.00469696,-0.851893035,-8.68786E-08,-3.27249E-08,Tau,,Phe,1,88,,149.6924857,,,
89,89,224837,,,,,0.018477,53.166943,581.3953,0.68,0.03,0,7.87,-0.952,K2,1.566,348.533968,1.685962,465.34044,-0.00000008,0.00000192,0.00000005,0.004837238,0.9279382,3.29673E-09,1.45444E-10,,,Cas,1,89,,209.3148303,,,
90,90,224842,,,,,0.018671,-41.887544,113.2503,25.1,-46.98,0,7.64,2.37,F5IV/V,0.5,84.308939,0.412135,-75.61391,-0.00001729,0.0000137,-0.0000192,0.004887982,-0.731075555,1.21688E-07,-2.27765E-07,,,Phe,1,90,,9.81747943,,,
91,91,224840,,,,,0.018702,-5.874348,301.2048,-15.41,-6.09,0,7.66,0.266,K0,1.3,299.619504,1.467004,-30.827462,-0.0000008,-0.00002251,-0.00000885,0.004896188,-0.102526708,-7.47098E-08,-2.95252E-08,,,Psc,1,91,,68.17105263,,,
92,92,224841,,,,,0.019379,-20.70555,404.8583,27.51,15.15,0,8.68,0.643,G8III,0.944,378.703543,1.921411,-143.143907,0.00001024,0.00005404,0.00002781,0.00507353,-0.361380014,1.33372E-07,7.34493E-08,,,Cet,1,92,,48.17259036,,,
93,93,224839,,,,,0.01949,-0.076098,61.1995,54.94,-73.28,0,8.12,4.186,F8V,0.619,61.198649,0.312274,-0.081283,-0.00000011,0.0000163,-0.00002174,0.005102575,-0.001328168,2.66357E-07,-3.55271E-07,,,Psc,1,93,,1.84331688,,,
94,94,,,,,,0.019665,-32.756836,90.7441,50.32,-12.69,0,10.1,5.311,G2,0.644,76.312459,0.392913,-49.099347,-0.00000313,0.00002212,-0.00000469,0.005148288,-0.571714649,2.43958E-07,-6.15229E-08,,,Scl,1,94,,0.654033509,,10.152,10.042
95,95,224847,,,,,0.020134,-11.964034,149.2537,-9.94,-13.75,0,8.67,2.8,F5V,0.513,146.009571,0.769644,-30.939939,-0.00000202,-0.0000072,-0.00000973,0.005271149,-0.208811777,-4.81905E-08,-6.66619E-08,,,Cet,1,95,,6.60693448,,,
96,96,,,,,,0.02033,13.975088,35.1494,20.59,139.82,0,10.46,7.73,M0,1.36,34.108524,0.181537,8.48858,-0.00000577,0.00000348,0.00002312,0.005322267,0.243911299,9.98231E-08,6.77866E-07,,,Peg,1,96,,0.070469307,,10.732,10.382
97,98,224851,,,,,0.020478,-52.798575,174.8252,-2.09,1.7,0,9.87,3.657,F6/F7V,0.551,105.701105,0.566682,-139.250874,0.00000116,-0.00000177,0.00000087,0.00536118,-0.92150898,-1.01326E-08,8.24183E-09,,,Phe,1,97,,3.000544002,,9.931,9.811
98,97,224849,,,,,0.020492,-21.404042,180.1802,18.34,1.21,0,9.48,3.201,F5V,0.53,167.750771,0.899961,-65.755407,0.0000003,0.00001602,0.00000098,0.005364759,-0.373571011,8.89148E-08,5.86625E-09,,,Cet,1,98,,4.566673896,,,
